Document Name,Attribute,Title,Expectations
Investor Relations All Titles,Business needs,PRINCIPAL,Oversees decisions within their team remit and for cross-functional groups that often have department or firmwide impact.
Investor Relations All Titles,Business needs,PRINCIPAL,Manages risk and exposure based on jurisdictions funds countries assets under management clients staff or budget size.
Investor Relations All Titles,Business needs,PRINCIPAL,Role has moved from day-to-day people or project management to strategically leveraging resources to bring critical initiatives across the finish line.
Investor Relations All Titles,Business needs,PRINCIPAL,Serves as "deputy" to MD effectively assuming their role when needed.
Investor Relations All Titles,Business needs,PRINCIPAL,Recognizes potential problems or needed change to maximize business opportunities.
Investor Relations All Titles,Leadership,PRINCIPAL,Consistently operates with discipline and focus.
Investor Relations All Titles,Leadership,PRINCIPAL,Maintains composure to resolve issues in a high stakes situation or during fire drill.
Investor Relations All Titles,Leadership,PRINCIPAL,Acts as a role model to team peers and colleagues across the firm by demonstrating appropriate confidence and composure in a wide variety of settings.
Investor Relations All Titles,Leadership,PRINCIPAL,Advocates for team resources needed to succeed maximizes their use and communicates accomplishments to stakeholders across the firm.
Investor Relations All Titles,Leadership,PRINCIPAL,Builds and continuously develops high performing teams that produce quality outputs.
Investor Relations All Titles,Leadership,PRINCIPAL,Provides insight to MD on organization design or structure of current team.
Investor Relations All Titles,Leadership,PRINCIPAL,Develops and communicates a clear workplan to the team and operates efficiently against it.
Investor Relations All Titles,Leadership,PRINCIPAL,Knows the strengths development areas and long-term career aspirations of each member of the team and actively helps them advance in their careers.
Investor Relations All Titles,Leadership,PRINCIPAL,Identifies knowledge or skill areas requiring development across the team and provides consistent and effective coaching and development opportunities to expand team's capability.
Investor Relations All Titles,Leadership,PRINCIPAL,Ensures performance problems are documented and moves quickly to address them.
Investor Relations All Titles,Leadership,PRINCIPAL,Provides actionable and timely feedback/mentorship to colleagues across the firm.
Investor Relations All Titles,Leadership,PRINCIPAL,Effectively presents complex topics in a compelling manner for internal and external stakeholders.
Investor Relations All Titles,Leadership,PRINCIPAL,Marked ability to meaningfully engage with and effectively influence any audience whether it be senior client facing or a larger internal group.
Investor Relations All Titles,Strive to excel,PRINCIPAL,Serves as a strategic advisor to firm and/or Portfolio Company leadership to ensure future success.
Investor Relations All Titles,Strive to excel,PRINCIPAL,Proactively identifies issues/inefficiencies in current processes implements transformational improvements and reports on the impacts of those changes.
Investor Relations All Titles,Strive to excel,PRINCIPAL,Leverages external contacts peer benchmarking and best practices research to keep ConfidentialCompany ahead of the curve.
Investor Relations All Titles,Strive to excel,PRINCIPAL,Translates business area's strategy into realistic plans while making budget/resource decisions and setting targets to achieve goals and successfully lead execution.
Investor Relations All Titles,Strive to excel,PRINCIPAL,Measures goal progress and realigns priorities as needed.
Investor Relations All Titles,Strive to excel,PRINCIPAL,Creates an open dialogue for the team to share mistakes/problems tackle hard challenges in novel or creative ways respectfully disagree and resolve conflict.
Investor Relations All Titles,Strive to excel,PRINCIPAL,Provides inspiration to teams and individuals across the business area to recognize achievements and foster a winning culture.
Investor Relations All Titles,Strive to excel,PRINCIPAL,Serves as a role model for the firm of the highest standards of professionalism and ethical business practices.
Investor Relations All Titles,Strive to excel,PRINCIPAL,Provides prompt and candid feedback when behavior is not aligned with ConfidentialCompany's cultural values or policies.
Investor Relations All Titles,Strive to excel,PRINCIPAL,Builds confidence and trust with senior leadership by exercising sound judgement and consistent intellectual honesty.
Investor Relations All Titles,Delivery to the firm,PRINCIPAL,Builds and leverages understanding of stakeholders' needs to make decisions and implement solutions that drive change.
Investor Relations All Titles,Delivery to the firm,PRINCIPAL,Shares network contacts with the team to expand their networks.
Investor Relations All Titles,Delivery to the firm,PRINCIPAL,Consistently demonstrates ability to represent the firm positively to external groups.
Investor Relations All Titles,Delivery to the firm,PRINCIPAL,Serves as a trusted advisor to the supported businesses.
Investor Relations All Titles,Delivery to the firm,PRINCIPAL,Leads cross-functional teams/initiatives for the betterment of the department and the firm.
Investor Relations All Titles,Delivery to the firm,PRINCIPAL,Through decision-making regularly demonstrates the performance of the firm supersedes individual or team goal attainment.
Investor Relations All Titles,Delivery to the firm,PRINCIPAL,Proactively shares ideas with other segments/departments to help them and the firm succeed.
Investor Relations All Titles,Challenge the status quo,PRINCIPAL,Proven ability to obtain buy-in on innovative solutions that challenge the status quo and helps stakeholders embrace change.
Investor Relations All Titles,Challenge the status quo,PRINCIPAL,Tackles challenges in creative ways and implements innovative solutions.
Investor Relations All Titles,Challenge the status quo,PRINCIPAL,Ensures continuous alignment with the team key stakeholders and/or Limited Partners as expectations change over the lifecycle of a process or initiative.
Investor Relations All Titles,Challenge the status quo,PRINCIPAL,Understands the priorities values and interpersonal dynamics of senior leaders and/or Limited Partners to effectively influence them to achieve department/firm goals.
Investor Relations All Titles,Challenge the status quo,PRINCIPAL,Mentors the team to help them build influencing and negotiation skills.
Investor Relations All Titles,Challenge the status quo,PRINCIPAL,Identifies opportunities risks and challenges across processes and initiatives and quickly and decisively takes appropriate action.
Investor Relations All Titles,Challenge the status quo,PRINCIPAL,Proactively leverages experience to navigate risks and obstacles before they become problems.
Investor Relations All Titles,Challenge the status quo,PRINCIPAL,Implements risk management framework to ensure business area adheres to external regulatory compliance and Firm policies and standards.
Investor Relations All Titles,Leverage diverse perspective,PRINCIPAL,Takes steps to cultivate a diverse and inclusive team.
Investor Relations All Titles,Leverage diverse perspective,PRINCIPAL,Champions firm DEI learning opportunities and cascades participation expectations to team.
Investor Relations All Titles,Leverage diverse perspective,PRINCIPAL,Creates and continuously expands a professional network with people of different backgrounds and experiences who could be a fit for ConfidentialCompany.
Investor Relations All Titles,Leverage diverse perspective,PRINCIPAL,Ensures during the recruitment process diverse candidates are identified and considered and advocates for diverse teams.
Investor Relations All Titles,Leverage diverse perspective,PRINCIPAL,Builds capabilities of all team members through stretch assignments that offer increased visibility and career growth.
