Document Name,Attribute,Title,Expectations
Investor Relations All Titles,Business needs,MANAGING DIRECTOR,Accountable for all department decisions with firmwide impact.
Investor Relations All Titles,Business needs,MANAGING DIRECTOR,Final point of escalation for business area and department with infrequent escalation to next level.
Investor Relations All Titles,Business needs,MANAGING DIRECTOR,Role requires expert level competence and accountability across multiple complex segments regions or domains.
Investor Relations All Titles,Business needs,MANAGING DIRECTOR,Accountable for significant level of risk and exposure based on jurisdictions funds countries assets under management clients staff or budget size.
Investor Relations All Titles,Business needs,MANAGING DIRECTOR,Accountable for department’s success/failure that has major firmwide impact.
Investor Relations All Titles,Business needs,MANAGING DIRECTOR,Role is solely accountable for developing and communicating vision and strategy for department with firmwide impact.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Serves as a role model for department and across the firm for emotional maturity and self-control in all situations and proactively seeks opportunities to educate others on this ability.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Colleagues across the department and firm consistently provide positive feedback on leadership approach and style.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Uses personal presence to focus the department and/or firm to offer a sense of stability in the most challenging/stressful situations.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Ensures firm’s Learning & Development resources are leveraged to close skill gaps and team is operating at peak levels.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Ensures career paths and promotion criteria are clearly articulated and consistently applied across the department.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Ensures performance standards and rewards are applied fairly across the department to maintain the firm's meritocratic culture.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Builds high performing teams with the right people in the right roles at the right time.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Demonstrates ability to make tough people decisions when necessary including parting ways with underperforming employees.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Meets regularly with and remains accessible to employees across the department and firm.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Proactively solicits input from less senior members of the department and ensures they speak first and/or are encouraged to present their views.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Demonstrates strong executive presence and inspires confidence and trust inside and outside the firm.
Investor Relations All Titles,Leadership,MANAGING DIRECTOR,Highly skilled and engaging public speaker called upon to speak at conferences publish articles or sit on board.
